id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/JASAL3/27/DALZIELL	doi	The Shaming of Australian Culture: Refracted Shame in Kathleen Fitzpatrick's<U+00A0>Solid Bluestone Foundations	Rosamund DALZIELL	JASAL	SI	1	1994-01-01	180-186	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9459
data/JASAL3/28/SHARKEY	doi	McKee Wright's 'O Rare Young Man: David McKee Wright's Bulletin debates with Jack Lindsay, 1922-25	Michael SHARKEY	JASAL	SI	1	1994-01-01	1,6	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9431
data/JASAL3/29/STANIER	doi	'It's all lies!': David Malouf's<U+00A0>Johnno<U+00A0>and Autobiography	Michael STANIER	JASAL	SI	1	1994-01-01	196-199	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9461
data/JASAL3/30/STUART	doi	Early Convict Novels	Lurline STUART	JASAL	SI	1	1994-01-01	100-104	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9445
data/JASAL3/31/SYAL	doi	Reading Australian Poetry in the Indian Classroom	Pushpinder SYAL	JASAL	SI	1	1994-01-01	139-144	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9453
data/JASAL3/32/THOMSON	doi	Dora's Antipodean Inheritors: psychiatric Therapy in<U+00A0>Poppy,<U+00A0>Julia Paradise, and<U+00A0>Still Murder,	Helen THOMSON	JASAL	SI	1	1994-01-01	79-86	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9442
data/JASAL3/33/THYER	doi	Representations of Public and Private Bodies in the Written and Visual Work of Barbara Hanrahan	Felicity THYER	JASAL	SI	1	1994-01-01	35-41	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9436
data/JASAL3/34/TYAS	doi	What can you do with a horizon?: Landscape in Recent Australian Fiction and the Visual Arts	Gillian TYAS	JASAL	SI	1	1994-01-01	14-19	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9433
data/JASAL3/35/JOHNSTON	doi	Australian Autobiography: the Politics of Making Postcolonial Space	Anna JOHNSTON	JASAL	SI	1	1995-01-01	130-135	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9965
data/JASAL3/36/AYRES	doi	Mabel Forrest and the Witch	Mary-Louise AYRES	JASAL	SI	1	1996-01-01	76-84	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9473
data/JASAL3/37/BARCAN	doi	Natural Histories: Gender, Race and Regional Consciousness on the Gold Coast	Ruth BARCAN	JASAL	SI	1	1995-01-01	46-51	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9952
data/JASAL3/38/BREWSTER	doi	Fictocriticism: Pedagogy and Practice	Anne BREWSTER	JASAL	SI	1	1995-01-01	89-92	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9958
data/JASAL3/39/CADZOW	doi	Footnoting: Landscape and Space in the Exploration Diary of Emily Caroline Creaghe	Allison CADZOW	JASAL	SI	1	1995-01-01	52-60	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9953
data/JASAL3/40/DIXON	doi	Unfamiliar Selves: Ion L. Idriess' Torres Strait Trilogy	Robert DIXON	JASAL	SI	1	1995-01-01	78-83	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9956
data/JASAL3/41/DYSON	doi	'Near the Heart of the Imperial ethic': THe Boarding School as Apparatus of Patriarchy and Imperialism in<U+00A0>The Getting of Wisdom	Mandy DYSON	JASAL	SI	1	1995-01-01	145-148	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9967
data/JASAL3/42/ELLIS	doi	Rewriting Feminism in Katharine Susannah Prichard's<U+00A0>Intimate Strangers	Cath ELLIS	JASAL	SI	1	1995-01-01	208-213	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/10232
data/JASAL3/43/FERGIE	doi	Evanescent, Oscillating, Never Quite Settled Upon: The Outback as Cultural Mirage	Deane FERGIE	JASAL	SI	1	1995-01-01	19-24	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9948
data/JASAL3/44/GANGULY	doi	Nationalism in Dalit and Aboriginal Texts	Debjani GANGULY	JASAL	SI	1	1995-01-01	113-122	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9963
data/JASAL3/45/GILDING	doi	Space Exploration: Catherine Martin, Australia, the World, the Universe and Whatever	Kevin GILDING	JASAL	SI	1	1995-01-01	61-70	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9954
data/JASAL3/46/GOLDSWORTHY	doi	The Space of Spinsterhood: Letters to the Female Middle Class Emigration Society 1862-1882	GOLDSWORTHY	JASAL	SI	1	1995-01-01	123-129	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9964
data/JASAL3/48/HUNN	doi	'Basic Bullshit'; Lesbian Detective Fiction and the Australian Lesbian and Gay Press	Deborah HUNN	JASAL	SI	1	1995-01-01	182-187	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/10227
data/JASAL3/49/INDYK	doi	The Place of Desire	Ivor INDYK	JASAL	SI	1	1995-01-01	71-77	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9955
data/JASAL3/50/JOHNSTON	doi	'One Woman's Testimony': Louisa Anne Meredith's<U+00A0>Notes and Sketches of New South Wales	Judith JOHNSTON	JASAL	SI	1	1995-01-01	40-45	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9951
data/JASAL3/51/KERR	doi	Fictocriticism, the 'Doubtful Category' and 'The Space Between'	Heather KERR	JASAL	SI	1	1995-01-01	93-96	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9959
data/JASAL3/52/LUCAS	doi	Tracking the Body: Dorothy Porter's<U+00A0>Monkey's Mask	Rose LUCAS	JASAL	SI	1	1995-01-01	202-207	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/10231
data/JASAL3/53/MacKENZIE	doi	Christina Stead and the 'Natural Uncanny'	Manifred MacKENZIE	JASAL	SI	1	1995-01-01	154-158	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9969
data/JASAL3/54/MARTIN	doi	Gender, Genera, Genre and Geography: Colonial Women's Writing and the Uses of Botany	Susan K. MARTIN	JASAL	SI	1	1995-01-01	30-39	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9950
data/JASAL3/55/McCREDDEN	doi	Mapping Religious Belief in Australian Culture	Lyn McCREDDEN	JASAL	SI	1	1995-01-01	102-107	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9961
data/JASAL3/56/McDONNELL	doi	House Arrest: Domestic Space in Christina Stead's Fiction	Jennifer McDONNELL	JASAL	SI	1	1995-01-01	136-144	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9966
data/JASAL3/57/McLEAN	doi	Imagining 'Australia': Paul Carter's Migrantology	Ian McLEAN	JASAL	SI	1	1995-01-01	25-29	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9949
data/JASAL3/58/MERLI & SALZMAN	doi	Imprinting/Erasing Woman	Carol MERIL and Paul SALZMAN	JASAL	SI	1	1995-01-01	175-181	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9973
data/JASAL3/59/CARTER	doi	Keynote Address: Crossing the Lines: Space as Colonialism	Paul CARTER	JASAL	SI	1	1995-01-01	1,12	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9946
data/JASAL3/60/PRATT	doi	Playing with Dolls: Masculinity and Desire in<U+00A0>Summer of the Seventeenth Doll	Catherine PRATT	JASAL	SI	1	1995-01-01	84-88	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9957
data/JASAL3/61/ROBB	doi	Academic Divination is not a Mysticism: Fictocriticism, Pedagogy and Hypertext	Simon ROBB	JASAL	SI	1	1995-01-01	97-101	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9960
data/JASAL3/62/RYAN	doi	Cartographic Eyes: Maps and Ideology	Simon RYAN	JASAL	SI	1	1995-01-01	13-18	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9947
data/JASAL3/63/SALTER	doi	Colonisation/Globalisation: an Argument in Support of Regional Literature	John SALTER	JASAL	SI	1	1995-01-01	197-201	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/10229
data/JASAL3/64/TASKER	doi	Francis Adams: The Dilemma of the Radical Intellectual	Meg TASKER	JASAL	SI	1	1995-01-01	149-153	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9968
