"V1","V2"
"quite",1
"ran",1
"rattles",1
"reckon",2
"refund",1
"rehearsal",3
"remain",1
"reserve",4
"rest",5
"reunion",2
"ried",1
"right",2
"rings",1
"rising",1
"rock",1
"roof",1
"roomed",1
"row",2
"rubbed",1
"rubs",1
"run",1
"rust",1
"safe",1
"said",1
"same",2
"sand",1
"sang",1
"sat",3
"saw",1
"say",2
"says",3
"scattered",1
"scratch",1
"sea",2
"see",5
"seem",1
"seems",2
"seen",3
"seized",1
"selected",1
"selecting",1
"send",1
"set",2
"several",1
"shade",5
"shake",1
"shall",1
"shape",1
"sharp",2
"sharpen",1
"she",6
"she's",3
"sheets",1
"shel",1
"shelter",2
"shiny",1
"shot",1
"should",3
"show",3
"showing",4
"side",2
"sight",1
"since",1
"single",2
"sitting",1
"skin",1
"slips",1
"slowly",1
"small",1
"smell",1
"smiles",3
"smiling",1
"sneaked",1
"sniffed",1
"so",6
"soaked",1
"something",2
"sometimes",1
"somewhat",1
"song",1
"soon",5
"soul",6
"souls",1
"sound",4
"sounds",1
"speaks",1
"spell",1
"spirit",2
"spirits",1
"spiritual",1
"spoil",2
"springs",1
"st",5
"stands",1
"stayed",1
"staying",1
"stays",3
"steps",1
"sticks",1
"stiff",1
"still",8
"still6",1
"stones",2
"stopped",1
"stories",1
"storm",1
"story",1
"stray",3
"stretched",1
"stretches",1
"strike",1
"stripe",1
"stroke",1
"stroll",1
"strolling",1
"struggle",1
"stuck",1
"stumpy",2
"stçnes",1
"sucks",2
"sud",1
"suddenly",2
"suffered",1
"sun",2
"sunday",4
"sure",1
"surprise",2
"survived",1
"swaying",3
"sweat",1
"swing",1
"table",1
"tag",1
"tail",1
"take",5
"taken",1
"talking",1
"talks",2
"tea",3
"teach",1
"teeth",13
"tell",3
"telling",1
"tells",2
"tered",1
"than",2
"them",16
"themes",1
"they're",1
"think",1
"those",5
"though",10
"thought",2
"through",2
"throughout",1
"throw",1
"thé",1
"till",2
"time",2
"tobacco",1
"today",1
"together",2
"told",8
"tomorrow",1
"tongue",2
"too",6
"took",2
"tooth",1
"toothless",1
"tops",1
"tough",2
"toward",1
"towards",2
"track",1
"trade",1
"tree",9
"trees",2
"tribal",7
"tribe",3
"tried",3
"tries",1
"trilogy",1
"troubled",1
"trousers",1
"trunk",1
"try",2
"trying",1
"tune",1
"turn",1
"turned",2
"twisted",1
"two",3
"under",4
"understand",1
"up",13
"us",22
"used",4
"verandah",1
"verger",15
"very",1
"virgin",1
"visible",1
"voice",9
"voices",1
"wait",1
"waited",1
"waiting",1
"wake",1
"walg",1
"walk",1
"walked",1
"waltzing",2
"wangled",1
"want",1
"wanted",2
"washed",2
"watch",1
"watches",1
"watered",1
"way",7
"we",10
"wear",1
"wearing",1
"well",3
"went",3
"were",6
"wet",1
"what",1
"whatever",1
"when",11
"while",5
"whirls",1
"whisked",1
"whispers",2
"whistle",2
"white",11
"whites",7
"who",6
"whole",4
"whom",2
"whose",1
"why",2
"widely",1
"wife",2
"willy",2
"wipe",2
"wipes",1
"witch",2
"withered",2
"without",1
"wiwar",2
"wizvar",1
"wongar",2
"wongar's",1
"wood",1
"wor",1
"work",1
"world",8
"would",13
"wouldn't",1
"wounds",1
"writer",1
"writing",1
"written",1
"yawns",1
"year",1
"years",3
"yellow",1
"yes",1
"yesterday",1
"you",19
"you'll",3
"you're",1
"young",4
"your",5
"yours",2
"zeal",1
