id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/ALS/a-film-script-of-david-mercer-8-4	doi	A Film Script of ‘Voss’	David Mercer, Rodney Wetherell	Australian Literary Studies	8	4	1978-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-film-script-of-voss
data/ALS/a-frame-of-reference-adrian-mitchell-10-1	doi	A Frame of Reference : Rosemary Dobson’s Grace Notes for Humanity	Adrian Mitchell	Australian Literary Studies	10	1	1981-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-frame-of-reference-rosemary-dobsons-grace-notes-for-humanity
data/ALS/a-g-stephens-as-clement-semmler-3-3	doi	A. G. Stephens as Editor of Barcroft Boake’s Poems	Clement Semmler	Australian Literary Studies	3	3	1968-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-g-stephens-as-editor-of-barcroft-boakes-poems
data/ALS/a-gendered-bush-mansfield-isabel-carrera-suarez-15-2	doi	A Gendered Bush: Mansfield and Australian Drovers’ Wives	Isabel Carrera-Suarez	Australian Literary Studies	15	2	1991-06-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-gendered-bush-mansfield-and-australian-drovers-wives
data/ALS/a-ghost-story-in-alice-brittan-21-4	doi	A Ghost Story in Two Parts : Charles Dickens, Peter Carey, and Avenging Phantoms	Alice Brittan	Australian Literary Studies	21	4	2004-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-ghost-story-in-two-parts-charles-dickens-peter-carey-and-avenging-phantoms
data/ALS/a-gift-recovered-cliff-hanna-10-4	doi	A Gift Recovered : A Henry Lawson Inscription	Cliff Hanna	Australian Literary Studies	10	4	1982-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-gift-recovered-a-henry-lawson-inscription
data/ALS/a-governor-a-farmer-michelle-mongan-11-1	doi	A Governor, a Farmer, an Emperor : Rome and Australia in Geoffrey Lehmann	Michelle Mongan	Australian Literary Studies	11	1	1983-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-governor-a-farmer-an-emperor-rome-and-australia-in-geoffrey-lehmann
data/ALS/a-johnsonian-moral-john-edgar-byrne-21-1	doi	A Johnsonian Moral	John Edgar Byrne	Australian Literary Studies	21	1	2003-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-johnsonian-moral
data/ALS/a-ladys-letter-from-ian-sibley-11-4	doi	A Lady’s Letter from London: 1873-1908	Ian Sibley	Australian Literary Studies	11	4	1984-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-ladys-letter-from-london-1873-1908
data/ALS/a-letter-from-shirley-h-m-doyle-12-3	doi	A Letter from Shirley Hazzard	H. M. Doyle	Australian Literary Studies	12	3	1986-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-letter-from-shirley-hazzard
