id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/SRB/37	doi	Fragments, silences, masquerades	Marion May Campbell	SRB	5		2013-05-07	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/fragments-silences-masquerades/
data/SRB/38	doi	Little people, big times	Hans Fallada	SRB	5		2013-05-10	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/little-people-big-times/
data/SRB/39	doi	As if the sea curved up	Ashley Hay	SRB	5		2013-05-14	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/as-if-the-sea-curved-up/
data/SRB/40	doi	Country matters	Melissa Lucashenko	SRB	5		2013-05-17	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/country-matters/
data/SRB/41	doi	Haunted rooms	Lisa Gorton	SRB	5		2013-05-20	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/haunted-rooms/
data/SRB/42	doi	A bee inside a violin inside a pear	Claire Messud	SRB	5		2013-05-24	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/a-bee-inside-a-violin-inside-a-pear/
data/SRB/43	doi	Mono no aware	Patrick Ness	SRB	5		2013-05-28	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/mono-no-aware/
data/SRB/44	doi	Late Recognition	Steven Moore (editor)	SRB	5		2013-05-31	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/late-recognition/
data/SRB/45	doi	Low Theory	McKenzie Wark and McKenzie Wark	SRB	6		2013-06-04	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/low-theory/
data/SRB/46	doi	Angela will be livid	Janet Frame	SRB	6		2013-06-07	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/angela-will-be-livid/
data/SRB/47	doi	On the road again	Anthony Macris	SRB	6		2013-06-11	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/on-the-road-again/
data/SRB/48	doi	For love and hunger		SRB	6		2013-06-14	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/for-love-and-hunger/
data/SRB/49	doi	Promiscuous subterranean bohemians	Lara Feigel	SRB	6		2013-06-18	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/promiscuous-subterranean-bohemians/
data/SRB/50	doi	More coffee!	Javier MarÃ­as	SRB	6		2013-06-21	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/more-coffee/
data/SRB/51	doi	Age of idiots	Terry Eagleton, Daniel Mendelsohn and David Shields	SRB	6		2013-06-26	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/age-of-idiots/
data/SRB/52	doi	Age of idiots		SRB	7		2013-07-02	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/age-of-idiots-2/
data/SRB/53	doi	Signs for the Soul		SRB	7		2013-07-09	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/signs-for-the-soul/
data/SRB/54	doi	Horses for courses	A.L. Kennedy	SRB	7		2013-07-12	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/horses-for-courses/
data/SRB/55	doi	Aggressively middling	Franco Moretti and Franco Moretti	SRB	7		2013-07-16	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/aggressively-middling/
data/SRB/56	doi	Road to omission	Anthony Macris	SRB	7		2013-07-19	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/road-to-omission/
data/SRB/57	doi	A crushed thistle	Anthony Marra	SRB	7		2013-07-23	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/a-crushed-thistle/
data/SRB/58	doi	Road to omission	Anthony Macris	SRB	7		2013-07-25	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/road-to-omission-2/
data/SRB/59	doi	Whatnots and wall jobs	Steven Carroll	SRB	7		2013-07-26	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/whatnots-and-wall-jobs/
data/SRB/60	doi	The onward surge	Clive James (translator)	SRB	7		2013-07-30	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/clive-james-dante-divine-comedy-review/
data/SRB/61	doi	A complex beast	Rowan Callick and Barnaby Martin	SRB	8		2013-08-02	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/a-complex-beast/
data/SRB/62	doi	Prophet of gloom	John Gray	SRB	8		2013-08-06	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/prophet-of-gloom/
data/SRB/63	doi	Being useful	Peter Coaldrake & Lawrence Stedman	SRB	8		2013-08-09	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/being-useful/
data/SRB/64	doi	Quand mÃªme	Emily Apter	SRB	8		2013-08-13	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/emily-apter-against-world-literature/
data/SRB/65	doi	The most important question		SRB	8		2013-08-16	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-most-important-question/
data/SRB/66	doi	An island of sanity	Fiona Capp	SRB	8		2013-08-20	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/an-island-of-sanity/
data/SRB/67	doi	Going viral	Alexis Wright	SRB	8		2013-08-23	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/going-viral/
data/SRB/68	doi	No success like failure	Kenneth Mackenzie	SRB	8		2013-08-27	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/no-success-like-failure/
data/SRB/69	doi	Sensible Seeing	W.G. Sebald	SRB	8		2013-08-30	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/sensible-seeing/
data/SRB/70	doi	Do the faun	Lucy Moore	SRB	9		2013-09-04	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/do-the-faun/
data/SRB/71	doi	Natureâ€™s art	Rachel Carson, Penny Olsen and Penny Olsen	SRB	9		2013-09-06	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/silent-spring-bug-music/
data/SRB/72	doi	The Curse of Formalism		SRB	9		2013-09-10	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-curse-of-formalism/
data/SRB/73	doi	Performing reality	Rachel Kushner	SRB	9		2013-09-13	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/performing-reality/
data/SRB/74	doi	A victimless crime	Chris Womersley	SRB	9		2013-09-17	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/a-victimless-crime/
